Group,Repeat_Setting,Repeat,Transaction_Load,TPS,Latency_ms,Success_Rate,Elapsed_s,CPU_Time_s,Peak_Memory_MB,Bytes_Written_MB,Block_File_KB,Success_SLA_ms,Node_Count,Throughput_per_Node,Propagation_Time_s,Storage_Overhead_MB,Peer_Delay_ms,Fault_Scenario,Downtime_s,Consensus_Recovery_s,Fork_Rate,Cluster_Size,Minority_Partition_Size,Byzantine_Percentage,Fault_Tolerance_Score,Fault_Tolerance_Status,Attack_Cost,Double_Spend_Window_s,Committee_Size,Quorum,Header_Only_Validation,Contract_Complexity,Gas_Fee,CPU_Usage_Percent,RAM_Usage_Percent,Bandwidth_MBps,Energy_Consumption_Wh,Payload_KB
Resilience,5,4,,,,,,,,,,,,,,,,Network Partition,1.1404444999643601,0.6697830999619327,0.5,8.0,4.0,,,,,,,,,,,,,,,
Resilience,5,4,,,,,,,,,,,,,,,,Validator Down,0.3395477999583818,0.5129905000212602,0.0,8.0,2.0,,,,,,,,,,,,,,,
Resilience,5,5,,,,,,,,,,,,,,,,Network Partition,1.139007700025104,0.6700873000081629,0.5,8.0,4.0,,,,,,,,,,,,,,,
Resilience,5,5,,,,,,,,,,,,,,,,Validator Down,0.2898820000118576,0.45772539998870343,0.0,8.0,2.0,,,,,,,,,,,,,,,
Security,5,1,,,,,,,,,,,,,,,,,,,,,,10.0,1.0,Pass,1872.03125,0.0586538405886194,10.0,6.0,True,,,,,,,
Security,5,1,,,,,,,,,,,,,,,,,,,,,,20.0,1.0,Pass,3744.0625,0.05396016134066503,10.0,6.0,True,,,,,,,
Security,5,1,,,,,,,,,,,,,,,,,,,,,,30.0,1.0,Pass,5616.09375,0.064890366057773,10.0,6.0,True,,,,,,,
Security,5,1,,,,,,,,,,,,,,,,,,,,,,40.0,1.0,Pass,7488.125,0.06788302610533162,10.0,6.0,True,,,,,,,
Security,5,1,,,,,,,,,,,,,,,,,,,,,,50.0,0.0,Fail,9360.15625,0.2124501451482263,10.0,6.0,True,,,,,,,
Security,5,2,,,,,,,,,,,,,,,,,,,,,,10.0,1.0,Pass,1872.03125,0.05520806070751201,10.0,6.0,True,,,,,,,
Security,5,2,,,,,,,,,,,,,,,,,,,,,,20.0,1.0,Pass,3744.0625,0.06625239883416727,10.0,6.0,True,,,,,,,
Security,5,2,,,,,,,,,,,,,,,,,,,,,,30.0,1.0,Pass,5616.09375,0.06401119588603328,10.0,6.0,True,,,,,,,
Security,5,2,,,,,,,,,,,,,,,,,,,,,,40.0,1.0,Pass,7488.125,0.0668959813381677,10.0,6.0,True,,,,,,,
Security,5,2,,,,,,,,,,,,,,,,,,,,,,50.0,0.0,Fail,9360.15625,0.20595799891958422,10.0,6.0,True,,,,,,,
Security,5,3,,,,,,,,,,,,,,,,,,,,,,10.0,1.0,Pass,1872.03125,0.05902246679240847,10.0,6.0,True,,,,,,,
Security,5,3,,,,,,,,,,,,,,,,,,,,,,20.0,1.0,Pass,3744.0625,0.04991522548660632,10.0,6.0,True,,,,,,,
Security,5,3,,,,,,,,,,,,,,,,,,,,,,30.0,1.0,Pass,5616.09375,0.05837623790577848,10.0,6.0,True,,,,,,,
Security,5,3,,,,,,,,,,,,,,,,,,,,,,40.0,1.0,Pass,7488.125,0.06666512093470985,10.0,6.0,True,,,,,,,
Security,5,3,,,,,,,,,,,,,,,,,,,,,,50.0,0.0,Fail,9360.15625,0.20619135587965826,10.0,6.0,True,,,,,,,
Security,5,4,,,,,,,,,,,,,,,,,,,,,,10.0,1.0,Pass,1872.03125,0.06264831235540912,10.0,6.0,True,,,,,,,
Security,5,4,,,,,,,,,,,,,,,,,,,,,,20.0,1.0,Pass,3744.0625,0.061880336111429166,10.0,6.0,True,,,,,,,
Security,5,4,,,,,,,,,,,,,,,,,,,,,,30.0,1.0,Pass,5616.09375,0.05723202850809811,10.0,6.0,True,,,,,,,
Security,5,4,,,,,,,,,,,,,,,,,,,,,,40.0,1.0,Pass,7488.125,0.0650578573813183,10.0,6.0,True,,,,,,,
Security,5,4,,,,,,,,,,,,,,,,,,,,,,50.0,0.0,Fail,9360.15625,0.209331441789617,10.0,6.0,True,,,,,,,
Security,5,5,,,,,,,,,,,,,,,,,,,,,,10.0,1.0,Pass,1872.03125,0.06242647406500136,10.0,6.0,True,,,,,,,
Security,5,5,,,,,,,,,,,,,,,,,,,,,,20.0,1.0,Pass,3744.0625,0.04509841968190009,10.0,6.0,True,,,,,,,
Security,5,5,,,,,,,,,,,,,,,,,,,,,,30.0,1.0,Pass,5616.09375,0.06345372526645464,10.0,6.0,True,,,,,,,
Security,5,5,,,,,,,,,,,,,,,,,,,,,,40.0,1.0,Pass,7488.125,0.06940424594898639,10.0,6.0,True,,,,,,,
Security,5,5,,,,,,,,,,,,,,,,,,,,,,50.0,0.0,Fail,9360.15625,0.19972453408197358,10.0,6.0,True,,,,,,,
Resource_Cost,5,1,,,,,,,0.022787094116210938,,3.046875,,,,,,,,,,,,,,,,,,,,,Low,1158.49609375,81.6067521531221,0.004450604319572449,0.22807453497872687,0.0001953125,1.056640625
Resource_Cost,5,1,,,,,,,0.048499107360839844,,11.681640625,,,,,,,,,,,,,,,,,,,,,Medium,4085.009765625,0.0,0.009472481906414032,0.536939715574269,0.0,7.2333984375
Resource_Cost,5,1,,,,,,,0.14213848114013672,,43.3193359375,,,,,,,,,,,,,,,,,,,,,High,13190.576171875,56.57583154681261,0.027761422097682953,1.6221351701312676,0.0001953125,36.2705078125
Resource_Cost,5,2,,,,,,,0.0226593017578125,,3.046875,,,,,,,,,,,,,,,,,,,,,Low,1158.49609375,0.0,0.004425644874572754,0.2424129124316276,0.0,1.056640625
Resource_Cost,5,2,,,,,,,0.048499107360839844,,11.681640625,,,,,,,,,,,,,,,,,,,,,Medium,4085.009765625,0.0,0.009472481906414032,0.6034319340291345,0.0,7.2333984375
